dm_1,lai_2,foto_2,lai_1,temp_1,lai_3,lai_4,foto_1,mikro_1,meldug_4,straaling_1,straaling_3,dm_4,nedboer_3,middel_2,temp_3,dm_2,nedboer_1,meldug_1,middel_1,mikro_3,lai_0,dm_3,meldug_2,nedboer_2,straaling_4,temp_4,foto_3,udbytte,mikro_2,middel_3,temp_2,meldug_3,straaling_2,foto_4
9,3,10,3,1,2,0,8,3,7,0,0,31,1,3,1,22,1,5,0,3,2,37,3,2,2,0,12,48,2,3,0,3,1,0
19,7,11,7,0,4,1,13,2,0,1,1,70,1,2,0,33,1,6,1,1,4,63,0,1,0,0,21,9,3,3,0,0,0,11
7,2,8,3,1,1,0,6,0,6,2,0,38,2,3,1,19,1,5,3,3,3,32,3,1,1,1,11,55,2,0,0,5,1,7
6,1,5,1,1,1,0,5,2,0,0,0,18,0,3,1,10,2,7,0,1,1,24,6,1,2,1,10,37,3,1,0,8,1,0
8,3,7,3,0,2,1,7,0,0,0,1,48,1,2,1,15,0,5,1,0,2,39,0,2,2,1,17,65,2,3,0,0,0,9
6,3,7,3,2,2,0,6,3,0,2,2,25,1,2,2,15,2,7,2,3,3,33,4,1,1,1,13,43,2,2,2,0,2,0
12,6,11,7,0,5,2,9,0,0,0,0,59,0,3,0,27,0,6,2,0,4,51,0,0,0,1,17,74,1,3,0,0,1,11
14,7,10,7,3,4,1,10,2,5,0,1,51,0,3,2,27,2,4,3,1,3,50,4,0,2,0,18,67,1,3,3,8,0,7
15,7,14,6,0,5,1,11,1,0,0,0,60,1,3,2,34,0,1,0,3,3,58,0,2,2,0,17,1,2,0,0,0,1,6
16,7,12,7,0,5,2,11,2,0,0,1,79,2,2,0,31,1,4,3,2,3,64,4,2,0,1,23,18,3,3,3,0,1,14
7,1,5,2,0,1,1,7,3,0,0,1,32,2,1,1,12,1,7,2,3,3,26,8,1,2,1,11,49,3,0,1,2,1,8
11,2,6,2,0,2,1,9,0,0,1,1,39,1,1,1,16,0,7,0,1,0,32,6,2,2,1,12,56,3,0,0,0,0,8
13,5,10,5,0,3,1,10,1,0,0,1,47,0,3,1,25,0,1,0,1,3,45,0,1,2,2,15,63,0,1,2,0,0,6
13,3,10,5,1,0,0,10,3,4,1,0,21,0,3,1,26,1,8,3,0,2,20,5,2,2,1,0,39,3,1,1,7,3,4
9,3,8,4,1,2,1,7,3,0,2,0,45,2,0,1,20,0,2,3,2,1,40,8,2,2,1,14,61,2,3,0,0,0,7
13,1,9,3,0,1,0,10,1,0,1,1,32,0,3,1,25,1,5,3,0,2,35,7,1,0,1,10,49,2,2,2,8,1,2
14,4,9,5,1,3,1,10,3,0,0,0,46,2,2,2,25,1,8,1,3,3,43,2,1,0,1,14,62,3,3,1,0,0,7
9,1,7,2,0,1,0,7,1,0,0,1,25,1,3,1,15,0,7,1,3,3,31,8,0,1,2,13,44,0,2,1,6,0,0
9,3,10,3,0,2,1,8,0,0,0,1,60,2,2,0,23,0,8,2,3,1,44,0,2,1,2,16,1,3,0,3,0,1,13
12,3,6,3,0,2,1,10,2,0,0,0,40,1,3,0,17,2,1,3,0,0,37,2,2,2,1,14,57,3,2,3,4,0,6
15,4,10,5,0,3,1,10,1,0,1,0,56,0,3,0,28,0,6,2,1,3,50,0,1,2,0,16,72,2,0,0,0,0,8
20,5,9,6,1,3,1,14,1,0,3,0,56,1,1,1,29,0,0,2,2,3,47,0,1,0,0,15,72,2,2,0,0,0,10
11,4,9,4,3,3,1,9,3,0,0,0,52,1,0,0,23,2,3,2,2,2,48,2,1,2,2,18,68,3,0,1,0,1,7
16,6,13,6,0,3,1,11,1,0,1,0,66,1,2,0,34,0,0,3,2,3,55,0,2,0,1,16,6,2,3,0,0,1,11
15,4,11,5,0,3,1,11,2,0,1,1,57,1,3,2,29,2,4,0,3,2,50,0,2,2,0,15,72,2,1,0,0,0,8
14,5,9,5,0,4,1,11,0,0,1,0,50,2,2,1,25,1,1,3,3,2,44,1,2,1,0,15,67,2,2,2,0,0,9
14,7,12,6,0,4,1,10,3,0,2,0,59,2,2,2,31,2,1,0,3,3,50,0,0,0,1,15,74,1,3,3,0,0,10
9,4,15,5,0,3,1,8,2,0,2,0,52,2,1,0,32,2,4,3,2,3,51,6,2,2,2,15,68,3,2,0,4,3,5
14,3,10,3,2,2,1,10,0,0,0,0,50,1,1,1,27,0,3,2,3,1,40,0,1,0,2,11,66,0,0,1,0,1,10
16,2,7,3,1,1,1,11,0,2,1,1,32,1,3,1,22,0,5,1,2,2,29,1,1,2,1,9,49,1,3,2,6,0,6
8,5,11,5,3,3,1,7,3,0,2,1,45,0,0,1,22,2,8,1,1,2,42,2,1,0,1,16,61,2,0,0,0,1,7
10,7,12,6,3,5,2,8,1,0,0,2,65,1,3,0,26,0,2,1,0,3,46,0,0,2,0,15,5,1,2,1,0,1,15
20,5,8,6,0,4,1,14,0,0,3,1,55,1,2,1,27,0,2,2,2,2,50,0,0,0,0,17,71,3,2,1,0,0,8
11,4,10,5,1,2,1,8,3,0,0,1,49,0,2,2,24,2,3,2,1,3,44,4,1,0,2,16,66,2,2,0,0,0,7
16,4,11,5,0,3,1,12,2,0,1,1,65,1,0,0,30,1,1,1,2,3,52,0,1,0,0,17,5,2,0,2,0,1,12
12,5,10,4,0,3,1,9,2,0,0,1,55,2,3,1,26,2,4,3,2,2,49,2,0,2,1,18,71,1,1,1,6,1,7
13,2,8,3,0,1,0,10,2,0,1,1,27,0,2,1,21,2,0,0,1,1,35,0,0,0,1,12,45,1,3,1,0,1,0
15,4,12,4,0,3,1,11,3,0,1,0,49,1,1,1,31,1,5,0,3,3,44,4,2,2,0,13,66,2,0,2,1,1,8
12,6,14,7,2,5,1,9,0,0,2,1,73,1,0,0,32,1,6,0,3,3,60,0,2,1,1,21,13,3,3,0,0,1,13
19,4,12,4,0,2,0,13,1,0,1,1,42,0,3,1,36,0,4,0,1,1,51,0,2,0,0,13,58,2,2,0,0,0,0
22,7,12,7,0,4,1,15,2,4,3,2,62,0,3,1,38,2,8,1,2,4,57,1,1,0,1,15,3,2,3,3,2,1,8
19,6,7,6,0,4,1,13,0,0,1,0,50,1,3,2,25,1,0,3,1,3,45,0,2,0,2,15,67,3,0,3,0,2,8
15,6,12,6,3,5,2,10,0,0,0,0,76,2,0,1,31,0,2,0,2,2,60,0,1,0,0,20,16,2,3,0,0,0,15
18,6,11,7,1,4,1,12,3,0,1,2,54,2,3,2,32,2,2,1,3,4,49,0,1,2,2,14,70,2,3,1,0,1,7
11,7,11,7,0,4,1,8,1,0,2,1,63,2,3,2,27,0,6,1,3,4,50,0,1,0,0,18,4,3,2,1,0,1,12
15,6,9,6,0,3,1,11,3,0,0,0,60,1,1,0,25,1,1,1,2,3,48,0,0,0,2,18,1,1,1,1,0,0,11
14,3,9,5,3,2,0,10,3,5,1,3,34,1,3,1,25,1,6,3,3,3,42,5,2,2,2,14,51,2,3,1,8,1,0
9,3,8,3,0,2,1,8,3,0,0,0,38,2,2,0,17,1,3,2,2,1,32,1,2,0,1,12,56,2,2,0,0,0,7
10,4,12,4,0,3,1,8,1,0,0,1,60,2,0,1,26,0,1,1,2,1,54,0,1,0,0,20,1,2,3,0,0,1,8
10,5,12,5,0,3,1,8,1,0,2,0,55,2,3,1,27,1,3,2,3,3,48,2,0,0,1,15,71,0,0,0,2,1,8
11,5,8,5,0,4,1,8,0,0,2,1,56,2,0,1,20,0,0,2,3,2,49,0,0,2,1,21,72,0,3,1,0,0,9
6,0,2,1,3,0,0,6,1,0,1,3,0,1,2,0,5,0,7,3,2,0,0,7,0,0,1,0,0,1,0,3,2,3,2
16,5,14,5,1,3,1,12,2,0,0,1,58,2,1,2,36,1,3,1,3,3,60,4,2,2,0,18,74,3,2,0,0,1,5
13,7,10,6,0,5,2,10,2,0,0,1,70,1,0,1,25,1,1,1,0,3,55,0,1,1,1,22,9,3,1,3,0,0,14
10,2,5,3,1,1,0,8,3,0,0,1,19,2,1,0,13,2,6,1,2,0,25,0,0,2,1,10,37,0,1,0,0,2,0
7,3,11,4,1,2,1,6,2,0,2,1,52,2,3,1,22,2,2,1,2,1,42,0,2,2,0,15,68,2,3,0,0,1,11
15,2,7,3,0,1,0,10,2,0,0,1,24,2,1,0,21,2,0,2,2,0,30,0,0,2,1,8,41,0,3,1,0,0,1
14,5,8,7,3,3,1,10,3,0,0,0,57,1,0,1,22,2,4,3,1,3,45,3,2,0,2,18,73,2,0,0,1,0,11
13,5,10,5,0,3,1,10,2,0,0,3,60,0,3,0,24,2,6,2,1,3,56,0,1,2,0,21,1,3,1,1,0,1,7
14,2,5,2,2,1,0,10,0,0,1,1,20,1,1,0,18,1,7,2,0,4,25,1,2,2,0,8,38,3,3,1,0,2,0
8,5,11,6,3,3,1,7,0,0,2,0,45,1,3,0,23,0,2,2,1,2,43,0,1,0,0,15,61,2,0,0,0,1,6
13,4,9,5,3,3,1,10,1,0,0,0,49,1,1,1,24,1,1,2,3,2,48,0,2,0,1,18,66,2,1,1,0,0,6
15,3,8,5,3,2,1,10,1,0,1,1,41,2,0,1,22,0,6,3,2,1,40,5,2,2,1,14,58,3,2,1,6,0,6
11,2,7,3,1,2,1,8,1,0,0,0,39,0,2,2,17,1,6,2,1,0,35,0,0,2,1,13,56,1,2,0,0,1,6
7,6,6,6,3,4,1,6,3,0,2,1,42,1,3,1,13,2,1,1,1,4,37,0,2,2,1,17,59,3,3,1,0,2,8
12,3,8,4,3,2,1,9,3,0,0,1,46,2,3,0,22,0,4,2,2,1,41,0,2,1,1,15,62,2,1,0,0,1,8
19,5,11,5,2,3,1,13,0,0,1,0,62,1,2,1,33,1,4,1,3,2,53,0,0,0,2,15,3,0,0,1,0,0,10
10,2,6,3,0,2,1,8,2,0,0,1,41,1,2,0,14,2,5,0,3,3,36,8,1,2,1,16,58,3,2,3,2,0,8
