node_id,node_name,parent_set_index,parent_count,parent_indices,parent_names,parent_mask_chunks_hex,log_score,fixed_score,fixed_hex,saturated
0,hepatalgia,0,0,,,0000000000000000 0000000000000000,-5299.10763795,-347282318,eb4ce472,0
0,hepatalgia,1,1,1,ast,0000000000000002 0000000000000000,-5311.78385016,-348113066,eb403756,0
0,hepatalgia,2,1,27,hepatomegaly,0000000008000000 0000000000000000,-4656.94622297,-305197628,edcf0dc4,0
0,hepatalgia,3,1,51,ggtp,0008000000000000 0000000000000000,-5313.09863012,-348199232,eb3ee6c0,0
0,hepatalgia,4,1,54,age,0040000000000000 0000000000000000,-5312.39511293,-348153126,eb3f9ada,0
0,hepatalgia,5,1,66,alt,0000000000000000 0000000000000004,-5311.90667152,-348121116,eb4017e4,0
0,hepatalgia,6,2,1 27,ast hepatomegaly,0000000008000002 0000000000000000,-4682.8077211,-306892487,edb53139,0
0,hepatalgia,7,2,1 51,ast ggtp,0008000000000002 0000000000000000,-5371.36429664,-352017731,eb04a2bd,0
0,hepatalgia,8,2,1 54,ast age,0040000000000002 0000000000000000,-5372.54582878,-352095163,eb037445,0
0,hepatalgia,9,2,1 66,ast alt,0000000000000002 0000000000000004,-5367.10567755,-351738638,eb08e4f2,0
0,hepatalgia,10,2,27 51,hepatomegaly ggtp,0008000008000000 0000000000000000,-4684.17161805,-306981871,edb3d411,0
0,hepatalgia,11,2,27 54,hepatomegaly age,0040000008000000 0000000000000000,-4682.92483832,-306900162,edb5133e,0
0,hepatalgia,12,2,27 66,hepatomegaly alt,0000000008000000 0000000000000004,-4680.7579059,-306758150,edb73dfa,0
0,hepatalgia,13,2,51 54,ggtp age,0048000000000000 0000000000000000,-5372.39949077,-352085573,eb0399bb,0
0,hepatalgia,14,2,51 66,ggtp alt,0008000000000000 0000000000000004,-5371.09070729,-351999801,eb04e8c7,0
0,hepatalgia,15,2,54 66,age alt,0040000000000000 0000000000000004,-5375.02202487,-352257443,eb00fa5d,0
0,hepatalgia,16,3,1 27 51,ast hepatomegaly ggtp,0008000008000002 0000000000000000,-4786.91726957,-313715410,ed4d152e,0
0,hepatalgia,17,3,1 27 54,ast hepatomegaly age,0040000008000002 0000000000000000,-4789.50342697,-313884897,ed4a7f1f,0
0,hepatalgia,18,3,1 27 66,ast hepatomegaly alt,0000000008000002 0000000000000004,-4780.86268809,-313318617,ed532327,0
0,hepatalgia,19,3,1 51 54,ast ggtp age,0048000000000002 0000000000000000,-5612.13494099,-367796875,ea13dd75,0
0,hepatalgia,20,3,1 51 66,ast ggtp alt,0008000000000002 0000000000000004,-5597.07517683,-366809919,ea22ecc1,0
