mode,total_bits,int_bits,frac_bits,lut_total_bits,lut_int_bits,lut_frac_bits,lut_min,lut_max,lut_entries,lut_address_width,lut_memory_bits,max_abs_error,mean_abs_error,rmse,max_relative_error,overflow_count,saturation_count,lut_low_count,lut_high_count,table_saturation_count,monotonic_issues,repeated_accum_abs_error
fixed-piecewise,24,16,7,24,16,7,-24.000000,8.000000,64,6,1536,0.506426767522,0.0164777746677,0.0677784988883,1,0,0,7531,10543,0,0,0.13662696259
fixed-piecewise,24,16,7,24,16,7,-24.000000,8.000000,128,7,3072,0.253326122225,0.00868922872093,0.0337928892212,1,0,0,7531,10543,0,0,0.12100196259
fixed-piecewise,24,16,7,24,16,7,-24.000000,8.000000,256,8,6144,0.130320826896,0.00480138469366,0.0169756742612,1,0,0,7531,10543,0,0,0.0663144625898
fixed-piecewise,24,16,7,24,16,7,-24.000000,8.000000,512,9,12288,0.0680967715154,0.00284241727527,0.00848702221261,1,0,0,7531,10543,0,0,0.0350644625898
fixed-piecewise,24,16,7,24,16,7,-24.000000,8.000000,1024,10,24576,0.0330748494235,0.00190110776258,0.00449840644089,1,0,0,7531,10543,0,0,0.00381446258984
fixed-piecewise,24,16,7,24,16,7,-16.000000,8.000000,64,6,1536,0.378891748413,0.0126906890762,0.0512621424517,1,0,0,9037,10543,0,0,0.20693946259
fixed-piecewise,24,16,7,24,16,7,-16.000000,8.000000,128,7,3072,0.19233866219,0.00678908966505,0.025466575919,1,0,0,9037,10543,0,0,0.0897519625898
fixed-piecewise,24,16,7,24,16,7,-16.000000,8.000000,256,8,6144,0.0992109180719,0.0038377289565,0.0128096689796,1,0,0,9037,10543,0,0,0.0350644625898
fixed-piecewise,24,16,7,24,16,7,-16.000000,8.000000,512,9,12288,0.0524717715154,0.0023640330556,0.00643296803998,1,0,0,9037,10543,0,0,0.0350644625898
fixed-piecewise,24,16,7,24,16,7,-16.000000,8.000000,1024,10,24576,0.0266141549048,0.00165840045637,0.00352277177987,1,0,0,9037,10543,0,0,0.0116269625898
fixed-piecewise,24,16,7,24,16,7,-16.000000,0.000000,64,6,1536,0.688539800551,0.00797958667949,0.0487165430141,1,0,0,9037,12560,0,1,0.85537696259
fixed-piecewise,24,16,7,24,16,7,-16.000000,0.000000,128,7,3072,0.688539800551,0.00766110854213,0.0484715341452,1,0,0,9037,12560,0,1,0.85537696259
fixed-piecewise,24,16,7,24,16,7,-16.000000,0.000000,256,8,6144,0.688539800551,0.00751827321088,0.0484153294051,1,0,0,9037,12560,0,1,0.85537696259
fixed-piecewise,24,16,7,24,16,7,-16.000000,0.000000,512,9,12288,0.688539800551,0.00744349159108,0.0484014564956,1,0,0,9037,12560,0,1,0.85537696259
fixed-piecewise,24,16,7,24,16,7,-16.000000,0.000000,1024,10,24576,0.688539800551,0.00741437029921,0.0483983768786,1,0,0,9037,12560,0,1,0.85537696259
fixed-piecewise,24,16,7,24,16,7,-12.000000,8.000000,64,6,1536,0.314968705157,0.0107703069959,0.042797534967,1,0,0,9790,10543,0,0,0.16006446259
